date,tipo_de_cambio,tasa_interes,inflacion
2022-06-01,7,19,7
2022-06-01,7,7,19
2022-06-01,7,7,7
2022-06-01,7,7,7
2022-06-01,7,7,19
2022-06-01,7,7,7
2022-06-01,7,7,7
2022-07-01,8,20,20
2022-07-01,8,20,8
2022-07-01,8,20,8
2022-07-01,8,8,20
2022-07-01,8,8,8
2022-07-01,8,8,8
2022-07-01,8,8,20
2022-07-01,8,8,8
2022-07-01,8,8,8
2022-08-01,8,20,20
2022-08-01,8,20,8
2022-08-01,8,20,8
2022-08-01,8,8,20
2022-08-01,8,8,8
2022-08-01,8,8,8
2022-08-01,8,8,20
2022-08-01,8,8,8
2022-08-01,8,8,8
2022-09-01,8,20,20
2022-09-01,8,20,8
2022-09-01,8,20,8
2022-09-01,8,8,20
2022-09-01,8,8,8
2022-09-01,8,8,8
2022-09-01,8,8,20
2022-09-01,8,8,8
2022-09-01,8,8,8
2022-10-01,8,8,8
2022-11-01,7,19,19
2022-11-01,7,19,9
2022-11-01,7,19,7
2022-11-01,7,9,19
2022-11-01,7,9,9
2022-11-01,7,9,7
2022-11-01,7,7,19
2022-11-01,7,7,9
2022-11-01,7,7,7
2022-12-01,7,19,19
2022-12-01,7,19,10
2022-12-01,7,19,7
2022-12-01,7,10,19
2022-12-01,7,10,10
2022-12-01,7,10,7
2022-12-01,7,7,19
2022-12-01,7,7,10
2022-12-01,7,7,7
2023-01-01,7,7,7
2023-02-01,7,18,18
2023-02-01,7,18,10
2023-02-01,7,18,7
2023-02-01,7,10,18
2023-02-01,7,10,10
2023-02-01,7,10,7
2023-02-01,7,7,18
2023-02-01,7,7,10
2023-02-01,7,7,7
2023-03-01,6,18,18
2023-03-01,6,18,11
2023-03-01,6,18,6
2023-03-01,6,11,18
2023-03-01,6,11,11
2023-03-01,6,11,6
2023-03-01,6,6,18
2023-03-01,6,6,11
2023-03-01,6,6,6
2023-04-01,6,6,6
2023-05-01,5,5,5
2023-06-01,5,17,17
2023-06-01,5,17,11
2023-06-01,5,17,5
2023-06-01,5,11,17
2023-06-01,5,11,11
2023-06-01,5,11,5
2023-06-01,5,5,17
2023-06-01,5,5,11
2023-06-01,5,5,5
2023-07-01,4,4,4
2023-08-01,4,16,16
2023-08-01,4,16,11
2023-08-01,4,16,4
2023-08-01,4,11,16
2023-08-01,4,11,11
2023-08-01,4,11,4
2023-08-01,4,4,16
2023-08-01,4,4,11
2023-08-01,4,4,4
2023-09-01,4,17,17
2023-09-01,4,17,11
2023-09-01,4,17,4
2023-09-01,4,11,17
2023-09-01,4,11,11
2023-09-01,4,11,4
2023-09-01,4,4,17
2023-09-01,4,4,11
2023-09-01,4,4,4
2023-10-01,4,4,4
2023-11-01,4,17,17
2023-11-01,4,17,11
2023-11-01,4,17,4
2023-11-01,4,11,17
2023-11-01,4,11,11
2023-11-01,4,11,4
2023-11-01,4,4,17
